,uuid,name_first,country,male,level,gender,F,M,?
35892,ntfoq9rd3twgt96dkf4zofmyo,Ying-Cheng,TW,0.0,3.0,M,0.0,1.0,0.0
35893,ntfpe93uq2pcczswnvsugfzi6,Tassanee K.,US,0.0,3.0,F,1.0,0.0,0.0
35894,ntfw9hpykddfvdj06g5tkjmtk,Ray,NL,1.0,3.0,M,0.0,1.0,0.0
35895,ntgwrqmvp9k59h6hgupyvyq28,Yanmei,CN,0.0,1.0,F,1.0,0.0,0.0
35896,nth1i3qod66sesi5vpwox86mu,Apurv Ullas,US,1.0,1.0,M,0.0,1.0,0.0
35897,nth802yv759aqjgd4cnhx0l36,Shan,US,1.0,3.0,M,0.0,1.0,0.0
35898,nthmql178ynsem39340luxwck,Tianyan,US,,,,,,
35899,ntimsnzo8yq3qvgizshfh0fq8,Makoto,JP,1.0,,,,,
35900,ntiqibilzeu9aaieoracj0fjr,Srikanth,US,1.0,1.0,M,0.0,1.0,0.0
35901,ntjddbd0zfpoazm1xc6z9ythp,Abke,NL,,,,,,
35902,ntjqr9y5y3fiu0gm6x67yygyh,Yue,US,0.0,2.0,F,1.0,0.0,0.0
35903,ntkmzezajw6yto1y4s7g7sieo,Keishirou,JP,,,,,,
35904,ntl50h2bw0beohoxbdjq8zklw,Peng,CN,1.0,3.0,M,0.0,1.0,0.0
35905,ntn7s5ixhedj2fof1iguuan9p,Maribel,MX,0.0,2.0,F,1.0,0.0,0.0
35906,ntnzb8k2v6fl7q47isr1kfbo1,Jiawen,CN,,,,,,
35907,ntogf618tbuodd224uypphdzd,Ling,CN,0.0,,,,,
35908,ntq6718zorftwrd11qw6f4qnk,Yong-Youl,KR,1.0,,,,,
35909,ntqm70inaw0fm583t4nxiym2h,Manuel Charles,US,1.0,2.0,M,0.0,1.0,0.0
35910,ntris2z4omt7j0tn56obemflj,Guozhong,US,1.0,3.0,M,0.0,1.0,0.0
35911,ntsmv5tc88lpfi8kjm04xw8og,Andrew,US,1.0,2.0,M,0.0,1.0,0.0
35912,nttj3vmi0lb8qpmfjp0ptnqzg,Kevin,US,1.0,2.0,M,0.0,1.0,0.0
35913,ntv34udk9qodphhwv12wfkw1v,June Hwan,KR,0.0,2.0,M,0.0,1.0,0.0
35914,ntvwdp2ektiluw6jxe6dr5k98,Danilo,IT,1.0,1.0,M,0.0,1.0,0.0
35915,ntwkx6z5eezphphazsd7c188v,Daryoush,US,1.0,3.0,M,0.0,1.0,0.0
35916,ntxddlm6w4s3gpi864ux5z2oo,Anantha K.,US,1.0,2.0,M,0.0,1.0,0.0
35917,ntxlbez8gusv7hagkqrdvxdfw,Taehee,KR,,,,,,
35918,ntxo2v57l0xo3mwphrbduzolq,Józef,PL,1.0,1.0,M,0.0,1.0,0.0
35919,ntyko2hcq14qv82sqwwjgpdy3,Myoung Ju,KR,0.0,,,,,
35920,ntzj30v4ejwzqd2vedkvn8rbm,Tongbao,CN,,,,,,
35921,nu039gvruezj35xjz0nka883v,Alasdair,GB,1.0,1.0,M,0.0,1.0,0.0
35922,nu0pu7hohce1m5y5jsm8ke8pu,Tae Yun,KR,1.0,1.0,M,0.0,1.0,0.0
35923,nu1gnx8q4yrw4lm0z3pxfbiih,Xu,CN,1.0,3.0,M,0.0,1.0,0.0
35924,nu27jc32mf7h1ehqwsk1eppn3,Mallikarjun,IN,,,,,,
35925,nu3ahrhs11lonedijrcm2mq4o,Kwang Chul,KR,1.0,,,,,
35926,nu3cwzkfk63bd8273fv2woaqk,Dorington George,US,,2.0,M,0.0,1.0,0.0
35927,nu3u9k2oyy295qv64hwolbzdo,Matthew,US,1.0,2.0,M,0.0,1.0,0.0
35928,nu4e9w2ujf5uofnyoiaoqcjz7,Yulun,US,,,,,,
35929,nu5d5nxq7qi5dt52bjhdtp7ar,Yunfei,CN,,,,,,
35930,nu5dysv592cr59x1oapw3j0yb,Hong,US,1.0,,,,,
35931,nu5n5vi5lzlcrywd329z8mc5w,Urmimala,US,0.0,3.0,F,1.0,0.0,0.0
35932,nu6514hyigk26e38wr5ip0s61,Carlos,CR,1.0,2.0,M,0.0,1.0,0.0
35933,nu6c4fw1jjf0hlfd4wy7g8ssh,Jianke,CN,,,,,,
35934,nu7am9rgd13hf4z8b7dcynne1,Chien-Tung,TW,1.0,3.0,M,0.0,1.0,0.0
35935,nu7jspu6vp6bptkmz3npjw3ke,Qifeng,CN,1.0,3.0,M,0.0,1.0,0.0
35936,nu7zoerm46xvg9p4mdbi6cvh9,Milosch,GB,1.0,3.0,M,0.0,1.0,0.0
35937,nu8az48ot3jvrlggmsgeeoss3,Satoshi,JP,1.0,1.0,M,0.0,1.0,0.0
35938,nu8dvpgxqzhjs9my4pywofgfs,Siddique M.,IN,,,,,,
35939,nu8lveeijlgwlpe4pgpae924p,Stanislav,RU,1.0,1.0,M,0.0,1.0,0.0
35940,nu8q35vpctqovuhxiacromxnw,Ki-Woong,KR,1.0,1.0,M,0.0,1.0,0.0
35941,nu8spsiusqqgxlg7qtx57jo0r,Sethu Hareesh,US,,2.0,M,0.0,1.0,0.0
35942,nu8y7beoy9h2u2l917j91z36v,José-Carlos,FR,1.0,2.0,M,0.0,1.0,0.0
35943,nu9pop8gutzmc7o31ufn1qmn5,Marco,US,1.0,2.0,M,0.0,1.0,0.0
35944,nu9t2b0q02x2u17zasvf6otkf,Kichang,KR,,,,,,
35945,nub6eecz3mqlxsbnxwf934nq5,Derek,US,1.0,2.0,M,0.0,1.0,0.0
35946,nubnix314lv75fiky5is59fas,Jaekun,KR,,,,,,
35947,nuckitj5hij88ttkbjyr29zcv,Ki Wan,KR,1.0,,,,,
35948,nucmb43pqfy26y7pt3l3y7de8,Bo,US,1.0,3.0,M,0.0,1.0,0.0
35949,nucqo2se0amhuctzj90a2t319,Daisy,BR,0.0,3.0,F,1.0,0.0,0.0
35950,nudnbxxxjanfdonzv0cfogra5,Guangyu,US,1.0,3.0,M,0.0,1.0,0.0
35951,nudyq71as9uidwahq3p9un04y,Seung Young,KR,1.0,3.0,M,0.0,1.0,0.0
35952,nuhya719vebzf4776fnkqbac9,Yiqing,CN,0.0,3.0,F,1.0,0.0,0.0
35953,nuk8m67moo43xm2fhu15wtwtn,Alexandra Elena,US,0.0,3.0,F,1.0,0.0,0.0
35954,num271ctbukc7z73awdn60bku,Hongliang,CN,1.0,3.0,M,0.0,1.0,0.0
35955,numfu4gnviqrb171yfa914pds,Liang,US,1.0,2.0,M,0.0,1.0,0.0
35956,nunnlyvparxnq2lta3z8b0ixg,Yu Min,SG,0.0,3.0,M,0.0,1.0,0.0
35957,nuore2wvmphi2ztaoz8mwji92,Pham,CA,,3.0,F,1.0,0.0,0.0
35958,nuq0p435d04iivivk6hnpo2vn,Teng,CN,1.0,3.0,M,0.0,1.0,0.0
35959,nuqohomwr249j6nnvasbzfsz3,Yuan,CN,1.0,3.0,M,0.0,1.0,0.0
35960,nuqzxs1ddcu4l9zm1742vdx5s,Vincent,FR,1.0,1.0,M,0.0,1.0,0.0
35961,nur3i8gxvpkxybaq2pumbcaq7,Laurens Daniel,NL,1.0,1.0,M,0.0,1.0,0.0
35962,nuu42xcgehp8q780170jg9qtg,Hyunsang,KR,,,,,,
35963,nuu607b8qt7nqp8bv6t3zmixf,George Robert,US,1.0,3.0,M,0.0,1.0,0.0
35964,nux0cern57jncvhnfld1sioyb,Vaibhav,IN,1.0,1.0,M,0.0,1.0,0.0
35965,nux44pl7ci61ea0dwri893pxg,Mickael,FR,1.0,1.0,M,0.0,1.0,0.0
35966,nuz7acpw845yijse8qwoco8mv,Mohsen,AE,1.0,1.0,M,0.0,1.0,0.0
35967,nuzmswcj5n380394017vc4l3q,Xiangming,CN,,,,,,
35968,nv0bdg5mc1hygq57x7om11del,Dongsoo,KR,1.0,,,,,
35969,nv1x9do8t2y40ciotofflbgjg,Minghao,US,1.0,2.0,M,0.0,1.0,0.0
35970,nv2ebyzqhqz9tzvw4n8k610pa,Yoshihiro,JP,1.0,1.0,M,0.0,1.0,0.0
35971,nv37lg3fok2lnyg1fickx4e40,Jaehun,KR,,,,,,
35972,nv4svfoulw85y7620ytgyldtk,Han Joo,KR,1.0,,,,,
35973,nv4vchc19yawevq2mkmerbbci,Mark,US,1.0,2.0,M,0.0,1.0,0.0
35974,nv4wv8vbdhph23vn1ql033nc9,Sergio,ES,1.0,1.0,M,0.0,1.0,0.0
35975,nv5alea3ap68yktw3yf80gjl3,Biplab,US,1.0,3.0,M,0.0,1.0,0.0
35976,nv5vsvyrhwba6lr8bqjo2aais,Patricia,ES,0.0,1.0,F,1.0,0.0,0.0
35977,nv675sn3xara3a6v6z4utbb1a,Alexandre,FR,1.0,1.0,M,0.0,1.0,0.0
35978,nv67tyvw6mnoqt5deb325cq4s,John C,US,1.0,2.0,M,0.0,1.0,0.0
35979,nv6lcw6v7hhrs4k18133xv7w4,Harini,US,0.0,1.0,F,1.0,0.0,0.0
35980,nv71wair0ar02s8iczscu3260,Matthew,GB,1.0,1.0,M,0.0,1.0,0.0
35981,nv8tt1b75qountfpyik8i0rsx,Olayinka,US,0.0,2.0,F,1.0,0.0,0.0
35982,nv8za56o7vymvmtpzqynvq38b,Jayakumar N.,IN,1.0,,,,,
35983,nv98rus6dsucp596fjniysh0v,Zhengwang,CN,,,,,,
35984,nva84plfuy1t2bk76y4oiqacd,Xiaodan,CN,0.0,,,,,
35985,nvacl1qjwh3dsfl5316xa93e7,Lawson L. S.,HK,1.0,3.0,M,0.0,1.0,0.0
35986,nvah7wjw4cq9fm21xjw1hjcan,Tomoyuki,JP,1.0,1.0,M,0.0,1.0,0.0
35987,nvbeorkewplv1b5x2v068pfur,Yuman,CN,,,,,,
35988,nvbsnboephhkh7zmz6oshyerg,Yejin,KR,,,,,,
35989,nvbwy7jfml7tw5etwcxvjv5ja,Vitaliy,US,1.0,1.0,M,0.0,1.0,0.0
35990,nvcabcc3cl0wvqkdq7z5oi4ic,Yanjun,AU,1.0,3.0,F,1.0,0.0,0.0
35991,nvdwtpvqua4wmuc4y3obfc9i3,Shou-Xuan,TW,1.0,3.0,M,0.0,1.0,0.0
35992,nvdx6j049t0vl0d0o6qqtshee,Bouziane,US,1.0,3.0,M,0.0,1.0,0.0
35993,nve0g109r4dmmy39gfvn1mwuf,Hye Jin,KR,0.0,1.0,F,1.0,0.0,0.0
35994,nvf3pmqe41fc6xn9rdy4crhqq,Weide,US,,,,,,
35995,nvffeujnh8mfm5qaqwj5zdwyf,Zhongbin,CN,,,,,,
35996,nvgr3e138kr6dykp2gi4sl3sy,Satoru,JP,1.0,1.0,M,0.0,1.0,0.0
35997,nvi1iz4tqxkavrtwg3pxvmiru,Telesphor,US,,,,,,
35998,nvibhe5twbkhkr6rsfkcpcwt5,Zhaonan,US,,,,,,
35999,nvkawm2y5mqwp5qz1rjlr0fim,Qiang,CN,1.0,3.0,M,0.0,1.0,0.0
36000,nvkovhl6cpltqfkvdae5max5g,Shitao,CN,,,,,,
36001,nvkxkdmndx597mzxdn2jzg20g,Jing,US,0.0,1.0,F,0.92206907,0.0,0.0
36002,nvmbo393wxtq60bveefb8vxk7,Peng,US,1.0,2.0,M,0.0,1.0,0.0
36003,nvmqquipjxdyd5t766xwh2ojy,SaiRamesh,SE,1.0,3.0,M,0.0,1.0,0.0
36004,nvomtldec2axujykv1shfa2sv,Eun Sub,KR,0.0,,,,,
36005,nvosg0a90chg17skm7zc7syte,Takayuki,JP,1.0,1.0,M,0.0,1.0,0.0
36006,nvqq3wgbgpuhavvh2cg7ncvam,Byoung Il,KR,1.0,,,,,
36007,nvrcepp4s6yhvblb4s0948glv,Yong,CN,1.0,3.0,M,0.0,1.0,0.0
36008,nvrrrwxvi41po6pxyiiwj1jwx,Uta,DE,0.0,1.0,F,1.0,0.0,0.0
36009,nvs8c0ckzi2q24d2l33a4d76v,Gui,CN,,,,,,
36010,nvton9k6kipaz78a56h8tk9s6,Lihua,CN,0.0,1.0,F,1.0,0.0,0.0
36011,nvvhx5civ9xe8fkbuu1y29kpq,Jonghyuk,US,,,,,,
36012,nvw5pdxf46smudhd3xhlsc1za,Gyoowan,KR,,,,,,
36013,nvwasy14rvyxxt3q592ekq1sv,Yongchuan,US,,,,,,
36014,nw0so1h210qnvcwoa6v6u7izz,Shan,US,1.0,3.0,M,0.0,1.0,0.0
36015,nw375fi2f8owj7of2v2yj15rc,Guangyin,US,,,,,,
36016,nw3oo3ksd5s2h4dhmap3xn6wh,Odigaise,US,,,,,,
36017,nw43177vdf4m6bj26x2ajo62w,Nelso,IT,1.0,2.0,M,0.0,1.0,0.0
36018,nw4pyfopbth48ufb6fpg2xbfm,Yuexin,US,0.0,2.0,F,1.0,0.0,0.0
36019,nw5ngje4eaa9alp7vxirzp4xt,I-Sheng,TW,1.0,3.0,M,0.0,1.0,0.0
36020,nw6nsnqtz866o8y8barc7625y,Hao,CN,1.0,3.0,M,0.0,1.0,0.0
36021,nw7dx00kj655xqnmar03h5fej,Kangguo,US,,,,,,
36022,nw7nhbr4oeroel468kevjsp2m,Soenghun,KR,,,,,,
36023,nw7nlz4kztzdv9map9muc3jr8,Sansaptak,US,1.0,3.0,M,0.0,1.0,0.0
36024,nw8l37x4833e7qpg1a450uccm,Qichao,US,,,,,,
36025,nw9wdwwqp8852hod49vz97pj2,Jeremy Blair,US,1.0,2.0,M,0.0,1.0,0.0
36026,nw9zw4iza306nwu3r3zg7vnwf,Kwangsoo,KR,1.0,,,,,
36027,nwahgr8zn2aqx9q2mihl6d46n,Wantanee,US,0.0,2.0,F,1.0,0.0,0.0
36028,nwalkxtqpdfqa1ptkcl5hhfrs,Gunasekaran,IN,1.0,,,,,
36029,nwawae1qkhu3rs1r654dij3qh,Ramesh,US,1.0,2.0,M,0.0,1.0,0.0
36030,nwb9jws3mi1pb0kqs8t393j5h,Xuehui,US,,,,,,
36031,nwbtys50atsmamhebsev3tdhb,Hung-Hsiang,TW,1.0,3.0,M,0.0,1.0,0.0
36032,nwcox0ow8idehkpr8amj5o5l3,Domenico,IT,1.0,1.0,M,0.0,1.0,0.0
36033,nwe43jh5z5slf6sd6h4hlazus,James,US,1.0,2.0,M,0.0,1.0,0.0
36034,nweerdvncvswoz3de6x67t4i3,Zhiyun,US,,,,,,
36035,nwefehv5njs46aysbkudmnc7o,Baolong,US,,,,,,
36036,nwfc2pytdyzpgkkmlxnwunks0,Florencia A.,US,0.0,1.0,F,1.0,0.0,0.0
36037,nwgfbgnol98j9ilt5xn0y1v3c,Donghwi,KR,,,,,,
36038,nwggfy1mmnxphbu7cz4b61rae,Jiang,CN,1.0,3.0,M,0.0,1.0,0.0
36039,nwibj1dmcsrmt496hnxnk9lx7,Isaac,US,1.0,2.0,M,0.0,1.0,0.0
36040,nwjb1m6okxpjr2twfta1ld5dh,Jae Hyuk,KR,1.0,1.0,M,0.0,1.0,0.0
36041,nwjy8ysm7ey5ns3029zhcmyyl,Mydul R.,US,1.0,2.0,M,0.0,1.0,0.0
36042,nwkgzk1x95hq176jon3htaf8a,Jin-Woong,KR,1.0,1.0,F,1.0,0.0,0.0
36043,nwl7yo85w5yon3vh15e74545w,Siddharth,US,1.0,1.0,M,0.0,1.0,0.0
36044,nwlndm78vaof8i8sezs7y7t5a,Junya,JP,1.0,1.0,M,0.0,1.0,0.0
36045,nwlqqf2v6s345yi8ynywrsqdo,Mudhakar,US,1.0,3.0,M,0.0,1.0,0.0
36046,nwn8uh2it8cqk669gzlyi2x9x,Zhandong,CN,,,,,,
36047,nwo8m4829kij4uyjzyo8tji7k,Jacques,FR,1.0,1.0,M,0.0,1.0,0.0
36048,nwp20fe5us5yd02k37vlt610w,Jordan Leroy,US,1.0,2.0,M,0.0,1.0,0.0
36049,nwt809nbnxjkslyjnlrj34n3a,Hongji,US,,,,,,
36050,nwu6zpcsszs00qs90er0m4ra6,Tomohumi,JP,,,,,,
36051,nwuz292kjr4cwk48vcbgpmpp4,Huimin,US,0.0,1.0,F,1.0,0.0,0.0
36052,nwwsrq4zoyr847m7o6jzohfqn,Chi,CN,1.0,,,,,
36053,nwxp4i8w2zuz0ixj5h9in45b5,Liang,US,1.0,2.0,M,0.0,1.0,0.0
36054,nwyd9e0a4ofy92cym7fvh0di9,Kunihiko,JP,1.0,1.0,M,0.0,1.0,0.0
36055,nwys37kymqraqtsuagrnsro4w,Xuedong,CN,,,,,,
36056,nwzcxqwtuo6yb29o16mxfccf2,Hiroki,JP,1.0,1.0,M,0.0,1.0,0.0
36057,nwzdyya3sj1h8awu65pv3oavc,Paul A.,US,1.0,2.0,M,0.0,1.0,0.0
36058,nwzjxxnt4psa1sdjy9h4j8h7s,Taegon,KR,,,,,,
36059,nx05c77qw5qfktdut90scq943,Richard,US,1.0,2.0,M,0.0,1.0,0.0
36060,nx0r5xgs1ioghfqnu4ogb29yv,YouZhi,CN,,,,,,
36061,nx1mv6qyg4n87btpnd406evau,Xue,CN,0.0,3.0,F,1.0,0.0,0.0
36062,nx1thhnh7zc9wsh7xyxdzsl1e,Keith,CA,1.0,2.0,M,0.0,1.0,0.0
36063,nx2y31f3el0pr2vfstmdsx6h5,Gongbo,CN,,,,,,
36064,nx3wii19xa9zy67fhcnep83cc,Sheng,US,1.0,1.0,F,0.96858639,0.0,0.0
36065,nx5naucckqwbfrc4wsdhchhld,Jie,CN,1.0,3.0,M,0.0,1.0,0.0
36066,nx5pt8caq3trw75caeasve72j,Behnood,US,,,,,,
36067,nx6o6gr885wx80d7jhj46n889,Namsoon,US,,,,,,
36068,nx821s6nnfk6ttx2lu69p3rp9,Tomohiro,JP,1.0,1.0,M,0.0,1.0,0.0
36069,nx9dsbjxw8t27qdphv0ozth7v,Ratmir Rasilevich,RU,1.0,3.0,M,0.0,1.0,0.0
36070,nxa6ptnal2r78ds2viasqh67r,Xin,CN,1.0,3.0,F,1.0,0.0,0.0
36071,nxbof9e6bekyqtzt4rg7phnts,Erik,SE,1.0,1.0,M,0.0,1.0,0.0
36072,nxcf8o2sdkickffug4h2egq5l,Mohsen,IR,1.0,1.0,M,0.0,1.0,0.0
36073,nxd60utkktem4llskao06li1v,Yongli,CN,,3.0,F,1.0,0.0,0.0
36074,nxey53blllucocp3jg7hwzcge,Lidong,CN,1.0,3.0,M,0.0,1.0,0.0
36075,nxfa9t05ag7srmyn9eoj0ccl4,Nikolaus,DE,1.0,1.0,M,0.0,1.0,0.0
36076,nxg0vddk4lwsvyljp5ej47hw0,Yuho,KR,,3.0,F,1.0,0.0,0.0
36077,nxhdy3tor640t1jgtzezxdp9y,Ki Hwan,KR,1.0,,,,,
36078,nxi5rwc7levro4f3fmwaj1uin,Teiichi,JP,1.0,,,,,
36079,nxin6rbtkplagd64km5vvtvxo,Yim,HK,0.0,3.0,F,1.0,0.0,0.0
36080,nxivtfcf9up57vaudtak80yi0,Yifan,CN,1.0,,,,,
36081,nxj8j9agzf336b0o50tghceng,Jason Aaron,CA,1.0,1.0,M,0.0,1.0,0.0
36082,nxjwy74v1eg1rpxsfnl3udkot,Jeong Ki,KR,,,,,,
36083,nxkrecysaiksimfyamip1a6bt,Changfeng,CN,,,,,,
36084,nxl9xvt2dkv20zyfoijhmz3as,Barry,IE,1.0,1.0,M,0.0,1.0,0.0
36085,nxldy0a9n4juum5l4bz14h6vd,Moshik Moshe,IL,1.0,1.0,M,0.0,1.0,0.0
36086,nxm2xbp6tglcq3w0midrkny1f,Soenghun,KR,,,,,,
36087,nxmd17bqu9z2iyj01gv63g8u9,Raveen,CA,0.0,2.0,F,1.0,0.0,0.0
36088,nxmphp1n4f1q7zqef17ibdlsm,Zhipeng,CN,1.0,3.0,M,0.0,1.0,0.0
36089,nxn3le1hco0fio04bgnqolpcl,Salvador,ES,1.0,1.0,M,0.0,1.0,0.0
36090,nxoq4k91192ky9v96h3rvi0fc,Qilong,CN,,,,,,
36091,nxozmtmdd2tvfuv50ze0d9ues,Rudolf C. F.,VN,1.0,3.0,M,0.0,1.0,0.0
36092,nxqubecxxhp2460lez8rgdtry,Koji,JP,1.0,1.0,M,0.0,1.0,0.0
36093,nxqvbmnfmc56zxeep8vmu0ql8,Jingyan,CN,0.0,3.0,F,1.0,0.0,0.0
36094,nxr9jnfjzgder5x52jlztivm1,Yin,CN,0.0,3.0,F,1.0,0.0,0.0
36095,nxrleem9cn98558c007hq3djv,Bonghyun,KR,,,,,,
36096,nxscldymnzx59rz2gnacqre2g,Pat,US,0.0,2.0,M,0.0,1.0,0.0
36097,nxssgpfme3hgw2su6qwr93spt,Sodam,KR,,,,,,
36098,nxsvbnf0ac4t1ku5c42w0acx5,Iván,ES,1.0,1.0,M,0.0,1.0,0.0
36099,nxt0reimmh27ooulb8x9j5mcq,You Soo,KR,1.0,,,,,
36100,nxtyixrj0rsndgvajiwfbhs4q,Nichimu,JP,,,,,,
36101,nxu2l4z2hhr328ma26oleak7h,Kenichi,JP,1.0,1.0,M,0.0,1.0,0.0
36102,nxuxzll8xqt14aqbc31foiqby,Wenjun,US,1.0,2.0,M,0.0,1.0,0.0
36103,nxv7slsq1a866gxr4w26fjwg6,Hyo Jin,CN,0.0,3.0,F,1.0,0.0,0.0
36104,nxwocmj7q4bod01ol3plpaoha,Liang,CN,1.0,3.0,M,0.0,1.0,0.0
36105,nxxfo5ev29tzswidcy47i942y,Hongyang,CA,,,,,,
36106,nxy2zfp7mslw7nmc86demgynn,Andrei,US,1.0,2.0,M,0.0,1.0,0.0
36107,nxyptfduntb56nnfnd7v4lps4,Hyo Jin,KR,0.0,1.0,F,1.0,0.0,0.0
36108,nxyuimjb5w31d7n6ti537j8ko,Hongkun,US,,,,,,
36109,ny053ro0sifvxn18o1878rvjx,Makkapati,IN,,,,,,
36110,ny19a83ufyi2nfv242w72sx02,Xiaowan,CN,0.0,3.0,F,1.0,0.0,0.0
36111,ny3170hlk5empahn538qf7kpt,Chonggang,US,,,,,,
36112,ny3gg8jfmtobc9a6rejg6u2z5,Ronak Girishbhai,US,,,,,,
36113,ny3lz67n3vq9fk5d6de12eeis,Baijin,CN,,,,,,
36114,ny3vmqhhrrwhrzs30a8i7kakl,Jack,US,1.0,2.0,M,0.0,1.0,0.0
36115,ny5igk1495v88scjogrgo6b96,Hong,US,1.0,,,,,
36116,ny65tqni7y5dp7zsgfsu42gpe,JengPing,US,,,,,,
36117,ny6lnkak1tmb88wrbyqjgqte8,Conor J.,US,1.0,2.0,M,0.0,1.0,0.0
36118,ny7gk3q4rdamno8et1os8pa9l,Tanfu,CN,,,,,,
36119,ny8a5yoqs1fd1doky9iy11msn,Romana,US,0.0,1.0,F,1.0,0.0,0.0
36120,ny9poj79eu95znb3z79p8bgsl,Zexing,US,,,,,,
36121,nyaa8k567st71smzg87vgys6f,Chaiman,KR,,,,,,
36122,nybk0ac13cd9ilivvdc5s8v3s,Harutomo,JP,,,,,,
36123,nycq9rva5jcant6tn00gvc04g,Jongwon,KR,1.0,3.0,M,0.0,1.0,0.0
36124,nycswdrgwj44rs2t5hvuzqpui,Li,CN,0.0,3.0,F,1.0,0.0,0.0
36125,nyd3emtlklmcvt85uh9zqegrd,Dong Soo,KR,1.0,1.0,M,0.0,1.0,0.0
36126,nydchv6gc50n01t0j0qcskhqn,Geen-Sil,KR,1.0,,,,,
36127,nydcygjo4j927hkgni0lnw9b6,Hee Jae,KR,0.0,1.0,F,1.0,0.0,0.0
36128,nydq7ba77lbo386yn4qta3dyw,Kazuomi,JP,1.0,1.0,M,0.0,1.0,0.0
36129,nyejdaj6d0qe0nlfqdbstdi9u,Tomokuni,JP,,,,,,
36130,nyexg6pfqb932pahjqws92sx5,Claus Peter,DK,1.0,3.0,M,0.0,1.0,0.0
36131,nyf7jfp8j7qyikwdfjq1455mf,Xiaofeng,CN,1.0,,,,,
36132,nygsoimzvlkblbvcdetraxt81,Xiaoming,US,1.0,,,,,
36133,nyh1zbl8c9fmjy3ymookft2ar,Tao,CN,1.0,3.0,M,0.0,1.0,0.0
36134,nyh6lnvy1rn5tnqv90lebw68c,Tianying,US,,,,,,
36135,nyh74162waeygrdvva4pe9gy2,Shinobu,JP,1.0,2.0,M,0.0,1.0,0.0
36136,nyhjlvc1vjs3fvb5fp9lojcd4,Hyeong Joon,KR,1.0,,,,,
36137,nyhpkjonzya69qpzxxf9sby1c,Mohammed,FR,1.0,1.0,M,0.0,1.0,0.0
36138,nyibuu0g1e8qwj44hq1u1ruwm,Yongtao,CN,,,,,,
36139,nyilbsba89hc91ttbczymccte,Jian Wu,CN,1.0,3.0,M,0.0,1.0,0.0
36140,nykwuej4mglppg8v06nr0uo6z,Kui,CN,1.0,,,,,
36141,nyl5skwg2pf86kquhs7vlywmd,Katsumi,JP,1.0,3.0,M,0.0,1.0,0.0
36142,nylfweu67nsdtb9cm7h84jeac,Zhu,CN,,,,,,
36143,nylz07azu2c3pcpj5n6k5jrxr,Jong Woo,KR,1.0,1.0,M,0.0,1.0,0.0
36144,nymhdurb3xa6zb7j8j17oxrw0,Xusheng,CN,,,,,,
36145,nyn014faaa3w1jys0xdn73na5,Ken,JP,1.0,1.0,M,0.0,1.0,0.0
36146,nyn4b8fklp7mauvq6r0tv1d6u,Dennis Seung-Man,US,1.0,2.0,M,0.0,1.0,0.0
36147,nyo3ilerrq55x8qls1okdnhif,Kwanghee,KR,,,,,,
36148,nyomrlx4jw2xz2rehdhvxddiz,Yu Ra,KR,,,,,,
36149,nyrb9m536x1iymcuc4cj0jq6r,Ning,CN,0.0,3.0,F,1.0,0.0,0.0
36150,nysj5vu1xjik8zeanqhn2g9ov,Wei,CN,1.0,3.0,M,0.0,1.0,0.0
36151,nysksqb15d5tylsmarjoq1ric,Robyn L,US,0.0,1.0,F,0.98122746,0.0,0.0
36152,nyspxzdv3vgs3gadup2a4e6yd,Sheta M.,SA,,3.0,M,0.0,1.0,0.0
36153,nyuxfu4ihctewygznnwfaklkp,Xiaohong,US,0.0,1.0,F,1.0,0.0,0.0
36154,nyv5gdnimaqrvnm0cka4lsfkv,Hemali,US,0.0,1.0,F,1.0,0.0,0.0
36155,nyvelfu8ofhx3grsjy2n2jrxc,Xuehui,US,,,,,,
36156,nywhomtmq3ckupv32bz35nslm,Jeong Il,KR,,1.0,M,0.0,1.0,0.0
36157,nyyfqie4r9j84loz56rb910qu,Shinichi,JP,1.0,1.0,M,0.0,1.0,0.0
36158,nz0d5yqsdkxvv4wk5r9yfuv5y,Takashi,JP,1.0,1.0,M,0.0,1.0,0.0
36159,nz0tlsjybdvpmf2f6av5x61om,Yun Jie,CN,0.0,3.0,M,0.0,1.0,0.0
36160,nz1c6v7vwyna3rwpwu5hn7tbd,Amir,US,1.0,2.0,M,0.0,1.0,0.0
36161,nz1rpj47576r9kmi4qu2zl3wx,Chao-Yang,TW,1.0,,,,,
36162,nz3c8bmein0jz2q91eymcx6pi,Stephan P.,US,1.0,2.0,M,0.0,1.0,0.0
36163,nz3disu2aiudirm46wh97cjgo,Xiyun,US,,,,,,
36164,nz3tl7945rcyvp3yr6d5r8ihp,Aparna R.,US,0.0,1.0,F,1.0,0.0,0.0
36165,nz46kh69n0dupqtovgge4o89d,Seo Hyun,KR,,1.0,F,1.0,0.0,0.0
36166,nz4m008r2cym9o6t6xq2jrbz3,Wonjae,KR,,,,,,
36167,nz5vqk4akfmb0dp4wiiu271wr,Ozi,IL,1.0,3.0,M,0.0,1.0,0.0
36168,nz61vfsdhj6kk7dr0yi2vsng2,Phillip,US,1.0,2.0,M,0.0,1.0,0.0
36169,nz6ktfom1nxinv9ppdj9i51o6,Rong,US,1.0,2.0,M,0.0,1.0,0.0
36170,nz7j6ok36f573v2dhaz9qs28q,Myeong-Suk,KR,1.0,1.0,F,1.0,0.0,0.0
36171,nz7lvb3d691hphqi9vck9gh53,Austin S.,US,1.0,2.0,M,0.0,1.0,0.0
