,name_first,country,level,gender,F,M,?
37719,Ludwig,DE,1.0,M,0.0,1.0,0.0
685,Dongkyu,KR,,not found,not found,not found,not found
32015,Sarah Marie,US,1.0,F,0.99687392,0.0,0.0
30882,Shigeyuki,JP,1.0,M,0.0,1.0,0.0
36880,Kyoung-Shin,US,1.0,M,0.0,1.0,0.0
16065,Feifei,CN,3.0,F,1.0,0.0,0.0
16066,Yang-Chih,TW,3.0,M,0.0,1.0,0.0
36949,Kyoung Whan,KR,1.0,?,0.0,0.0,1.0
45968,Alexander,US,2.0,M,0.0,1.0,0.0
27701,Peggy,US,1.0,F,0.99727541,0.0,0.0
686,Yonghwa,KR,,not found,not found,not found,not found
16067,Sangwook,KR,3.0,M,0.0,1.0,0.0
687,Lifu,CN,,not found,not found,not found,not found
688,Tiean,CN,,not found,not found,not found,not found
34701,Kazuki,JP,1.0,M,0.0,1.0,0.0
33529,Jeong-Hun,KR,1.0,?,0.0,0.0,1.0
27311,Hee Kwang,KR,1.0,F,1.0,0.0,0.0
38961,Balakrishnaiah,IN,1.0,M,0.0,1.0,0.0
16068,Yinghui,CN,3.0,F,1.0,0.0,0.0
16069,Bo,CN,3.0,M,0.0,1.0,0.0
16070,Tong,CN,3.0,M,0.0,1.0,0.0
16071,Jinjing,US,3.0,F,1.0,0.0,0.0
16072,Hongliang,CN,3.0,M,0.0,1.0,0.0
30063,Eneko,ES,1.0,M,0.0,1.0,0.0
16073,Gunneswara,US,3.0,M,0.0,1.0,0.0
689,Chuntan,CN,,not found,not found,not found,not found
16074,Shaoli,CN,3.0,F,1.0,0.0,0.0
47790,Donald,US,2.0,M,0.0,1.0,0.0
51728,Patrick C.,US,2.0,M,0.0,1.0,0.0
16075,Jingjing,CN,3.0,F,1.0,0.0,0.0
46973,Chang Long Zhu,US,2.0,M,0.0,1.0,0.0
16076,Han,CN,3.0,M,0.0,1.0,0.0
46397,Ayman,US,2.0,M,0.0,1.0,0.0
31246,Ryoichi,JP,1.0,M,0.0,1.0,0.0
29670,Niels,NL,1.0,M,0.0,1.0,0.0
29828,Noah,IN,1.0,M,0.0,1.0,0.0
38370,Tuija,FI,1.0,F,1.0,0.0,0.0
48564,Gursharan,US,2.0,F,1.0,0.0,0.0
28700,Neerav Atul,US,1.0,M,0.0,1.0,0.0
690,Mausoom,IN,,not found,not found,not found,not found
691,Yongxing,US,,not found,not found,not found,not found
16077,Renjie,CN,3.0,M,0.0,1.0,0.0
36090,Hui,GB,1.0,F,0.97368419,0.0,0.0
35558,Maria Augustina,ES,1.0,F,0.99968094,0.0,0.0
16078,Can,CN,3.0,M,0.0,1.0,0.0
40707,Alexandra,US,1.0,F,0.99605328,0.0,0.0
46863,Carlos,MX,2.0,M,0.0,1.0,0.0
37627,Limor,IL,1.0,F,1.0,0.0,0.0
53351,Theodore,US,2.0,M,0.0,1.0,0.0
692,Byeongmin,KR,,not found,not found,not found,not found
693,Rittwik,US,,not found,not found,not found,not found
694,Shoubo,CN,,not found,not found,not found,not found
29503,Olga,IL,1.0,F,1.0,0.0,0.0
16079,Ying,CN,3.0,M,0.0,1.0,0.0
695,Sangbum,KR,,not found,not found,not found,not found
33169,Jianping,US,1.0,F,1.0,0.0,0.0
36299,Hyun Chang,KR,1.0,?,0.0,0.0,1.0
45242,Juan Carlos,ES,1.0,M,0.0,1.0,0.0
696,Makoto,JP,,not found,not found,not found,not found
697,Kanechika,JP,,not found,not found,not found,not found
16080,Jianfeng,CN,3.0,M,0.0,1.0,0.0
698,Chockkalingam,US,,not found,not found,not found,not found
16081,Ping,CN,3.0,M,0.0,1.0,0.0
699,Lefeng,CN,,not found,not found,not found,not found
48733,Hiroshi,JP,2.0,M,0.0,1.0,0.0
16082,Li,JP,3.0,F,1.0,0.0,0.0
45138,Apurv Ullas,US,1.0,M,0.0,1.0,0.0
52270,Richard Clay,US,2.0,M,0.0,1.0,0.0
27471,Harikrishnan,IN,1.0,M,0.0,1.0,0.0
16083,Ping-Kun,TW,3.0,M,0.0,1.0,0.0
46684,Brian H.,US,2.0,M,0.0,1.0,0.0
27216,Hassan,IR,1.0,M,0.0,1.0,0.0
36061,Mingxia,CN,1.0,F,1.0,0.0,0.0
16084,Arulmurugan,TW,3.0,M,0.0,1.0,0.0
700,Jing,CN,,not found,not found,not found,not found
32821,Jessica,US,1.0,F,0.99656838,0.0,0.0
37159,Laura Ann,CA,1.0,F,1.0,0.0,0.0
49754,Juan,US,2.0,M,0.0,1.0,0.0
35610,Ido,US,1.0,M,0.0,1.0,0.0
45078,Geon-woo,KR,1.0,?,0.0,0.0,1.0
46945,Chad,US,2.0,M,0.0,1.0,0.0
32238,Sandra,BE,1.0,F,0.99982154,0.0,0.0
45760,Aaron Matthew,US,2.0,M,0.0,1.0,0.0
31590,Ricardo Neves,BR,1.0,M,0.0,1.0,0.0
16085,Zino,KR,3.0,M,0.0,1.0,0.0
53745,Wade,US,2.0,M,0.0,1.0,0.0
45870,Ahmet,DE,2.0,M,0.0,1.0,0.0
701,Pengyun,CN,,not found,not found,not found,not found
702,Mingguo,CN,,not found,not found,not found,not found
41309,Yuri,US,1.0,F,0.61063677,0.0,0.0
703,Chenbo,CN,,not found,not found,not found,not found
43244,David,GB,1.0,M,0.0,1.0,0.0
16086,Wei,CN,3.0,M,0.0,1.0,0.0
52695,Samuel,US,2.0,M,0.0,1.0,0.0
704,Tianci,CN,,not found,not found,not found,not found
705,Jinyoung,KR,,not found,not found,not found,not found
16087,Bing,SG,3.0,M,0.0,1.0,0.0
706,Kui,CN,,not found,not found,not found,not found
707,Shahrad,US,,not found,not found,not found,not found
16088,Mayuri,IN,3.0,F,1.0,0.0,0.0
54278,Yi-Ching,TW,2.0,M,0.0,1.0,0.0
37120,Jagdip,US,1.0,M,0.0,1.0,0.0
37801,Ismo,FI,1.0,M,0.0,1.0,0.0
708,Baoming,US,,not found,not found,not found,not found
16089,Venkataramani,US,3.0,F,1.0,0.0,0.0
709,Jeongil,KR,,not found,not found,not found,not found
710,Jin,CN,,not found,not found,not found,not found
41904,Xiaojie,US,1.0,F,1.0,0.0,0.0
711,Siping,CN,,not found,not found,not found,not found
32016,Sarah,US,1.0,F,0.99687392,0.0,0.0
16090,Sanghoon,KR,3.0,M,0.0,1.0,0.0
51711,Parker,US,2.0,M,0.0,1.0,0.0
45908,Albert,US,2.0,M,0.0,1.0,0.0
27825,Pavel,US,1.0,M,0.0,1.0,0.0
712,Minghui,CN,,not found,not found,not found,not found
29691,Hiroki,JP,1.0,M,0.0,1.0,0.0
713,Chia-Jen,TW,,not found,not found,not found,not found
30406,Seung Gu,KR,1.0,?,0.0,0.0,1.0
51029,Michael,BE,2.0,M,0.0,1.0,0.0
39870,Tomokazu,JP,1.0,M,0.0,1.0,0.0
51320,Penchala N.,US,2.0,F,1.0,0.0,0.0
51474,Nicholas James,US,2.0,M,0.0,1.0,0.0
16091,Weiping,US,3.0,F,1.0,0.0,0.0
43403,Dhananjay,US,1.0,M,0.0,1.0,0.0
42908,Sommer Ann,US,1.0,F,1.0,0.0,0.0
16092,Fen,CN,3.0,F,1.0,0.0,0.0
38038,Benoit,FR,1.0,M,0.0,1.0,0.0
714,Nanfang,CN,,not found,not found,not found,not found
29418,Osamu,JP,1.0,M,0.0,1.0,0.0
28241,Haile,US,1.0,F,0.80794847,0.0,0.0
33185,Kazumasa,JP,1.0,M,0.0,1.0,0.0
715,Youngjun,KR,,not found,not found,not found,not found
716,Chuanliang,CN,,not found,not found,not found,not found
40868,Zeid,SE,1.0,M,0.0,1.0,0.0
50495,Obiomalotaoso Leonard,SA,2.0,M,0.0,1.0,0.0
53587,Tchavdar V.,US,2.0,M,0.0,1.0,0.0
717,Eoksu,KR,,not found,not found,not found,not found
39853,Tomoya,JP,1.0,M,0.0,1.0,0.0
53044,Siyan,US,2.0,M,0.0,1.0,0.0
16093,Frederik F. J.,CN,3.0,M,0.0,1.0,0.0
50816,Mark,US,2.0,M,0.0,1.0,0.0
16094,Fujun,CN,3.0,M,0.0,1.0,0.0
718,Yanchao,CN,,not found,not found,not found,not found
16095,Dong,CN,3.0,M,0.0,1.0,0.0
719,Hongzhuo,CN,,not found,not found,not found,not found
52340,Robert Stephen,US,2.0,M,0.0,1.0,0.0
720,Jangseop,KR,,not found,not found,not found,not found
16096,Xiao Xi,CN,3.0,F,1.0,0.0,0.0
721,Tomotsugu,JP,,not found,not found,not found,not found
16097,Haobo,US,3.0,M,0.0,1.0,0.0
51876,Peter,US,2.0,M,0.0,1.0,0.0
16098,Pin-Wen,TW,3.0,F,1.0,0.0,0.0
47857,Dylan Todd,US,2.0,M,0.0,1.0,0.0
48199,Frank,US,2.0,M,0.0,1.0,0.0
41611,Yahui,CN,1.0,?,0.0,0.0,1.0
33378,Kwang Ho,KR,1.0,?,0.0,0.0,1.0
52987,Shun,JP,2.0,M,0.0,1.0,0.0
16099,Weibin,CN,3.0,M,0.0,1.0,0.0
44880,Apurup Reddy,US,1.0,M,0.0,1.0,0.0
722,Kiwoong,KR,,not found,not found,not found,not found
723,Yuehai,US,,not found,not found,not found,not found
43136,Dipen,US,1.0,M,0.0,1.0,0.0
16100,Benjamin,CN,3.0,M,0.0,1.0,0.0
724,Hoemi,KR,,not found,not found,not found,not found
725,Changwon,KR,,not found,not found,not found,not found
44858,Ing. Thiemo,DE,1.0,M,0.0,1.0,0.0
50899,Matthew Scott,US,2.0,M,0.0,1.0,0.0
726,Meiyi,CN,,not found,not found,not found,not found
31974,Sara,CH,1.0,F,1.0,0.0,0.0
16101,Peiman,US,3.0,M,0.0,1.0,0.0
27957,Rahul,US,1.0,M,0.0,1.0,0.0
727,Haifeng,CN,,not found,not found,not found,not found
31359,Sadaharu,JP,1.0,M,0.0,1.0,0.0
16102,Xixi,CN,3.0,F,1.0,0.0,0.0
49322,Jiasheng,US,2.0,M,0.0,1.0,0.0
43762,Deepak,US,1.0,M,0.0,1.0,0.0
728,Qidao,US,,not found,not found,not found,not found
45252,Hye Dong,KR,1.0,M,0.0,1.0,0.0
729,Avshi,IL,,not found,not found,not found,not found
730,Bingliang,CN,,not found,not found,not found,not found
49173,Jayson,US,2.0,M,0.0,1.0,0.0
731,Ra'anan,IL,,not found,not found,not found,not found
732,Yongseop,KR,,not found,not found,not found,not found
41018,Zvika,IL,1.0,M,0.0,1.0,0.0
52478,Ronald,US,2.0,M,0.0,1.0,0.0
16103,Leander,HK,3.0,M,0.0,1.0,0.0
34913,Joan Zarate,US,1.0,F,0.98907328,0.0,0.0
733,Zhihui,CN,,not found,not found,not found,not found
16104,Yuan,US,3.0,M,0.0,1.0,0.0
45501,Hsien-Hsin Sean,US,1.0,F,0.66666669,0.0,0.0
16105,Tao,CN,3.0,M,0.0,1.0,0.0
48891,Iulian,DE,2.0,M,0.0,1.0,0.0
16106,Tao,CN,3.0,M,0.0,1.0,0.0
38964,Barbara,PL,1.0,F,1.0,0.0,0.0
734,Jun,CN,,not found,not found,not found,not found
37909,Valentina Di,IT,1.0,F,1.0,0.0,0.0
735,Shipeng,US,,not found,not found,not found,not found
736,Hanching,US,,not found,not found,not found,not found
16107,Xiang,CN,3.0,M,0.0,1.0,0.0
16108,Meng-Sheng,TW,3.0,M,0.0,1.0,0.0
50558,Lixin,US,2.0,M,0.0,1.0,0.0
48888,Istok Gorazd,CA,2.0,M,0.0,1.0,0.0
16109,Min-Hsun,TW,3.0,M,0.0,1.0,0.0
737,Eng Eong,SG,,not found,not found,not found,not found
16110,Jianhua,CN,3.0,M,0.0,1.0,0.0
16111,Zhilin,CN,3.0,M,0.0,1.0,0.0
738,Qiubin,CN,,not found,not found,not found,not found
16112,Zhen,CN,3.0,M,0.0,1.0,0.0
16113,Seonmi,KR,3.0,F,1.0,0.0,0.0
16114,Hao,CN,3.0,M,0.0,1.0,0.0
37659,Lisa,US,1.0,F,0.9971168,0.0,0.0
43098,So Ra,KR,1.0,?,0.0,0.0,1.0
16115,S. K.,TW,3.0,M,0.0,1.0,0.0
739,Huaming,CN,,not found,not found,not found,not found
740,Xiaosong,US,,not found,not found,not found,not found
16116,Lijuan,US,3.0,F,1.0,0.0,0.0
741,Hui,CN,,not found,not found,not found,not found
742,Ryo,JP,,not found,not found,not found,not found
33472,Javier,ES,1.0,M,0.0,1.0,0.0
49891,Junyi,US,2.0,F,1.0,0.0,0.0
743,Hyungtae,KR,,not found,not found,not found,not found
53272,Suresh,IN,2.0,M,0.0,1.0,0.0
744,Jiyong,CN,,not found,not found,not found,not found
745,Yongho,KR,,not found,not found,not found,not found
29540,Nilesh D.,IN,1.0,M,0.0,1.0,0.0
746,Hongzhou,CN,,not found,not found,not found,not found
42713,Dan,DK,1.0,M,0.0,1.0,0.0
38484,Augustin,FR,1.0,M,0.0,1.0,0.0
30154,Eric,DE,1.0,M,0.0,1.0,0.0
16117,Yuanyuan,CN,3.0,F,1.0,0.0,0.0
747,Mengbin,CN,,not found,not found,not found,not found
748,Enning,US,,not found,not found,not found,not found
49239,Jeremiah Todd,US,2.0,M,0.0,1.0,0.0
749,Jeongho,KR,,not found,not found,not found,not found
750,Huanlong,CN,,not found,not found,not found,not found
751,Jen-Hsiang,TW,,not found,not found,not found,not found
28129,Guoliang,CN,1.0,M,0.0,1.0,0.0
752,Wooyong,KR,,not found,not found,not found,not found
16118,Yaoyao,CN,3.0,F,1.0,0.0,0.0
43763,Di,US,1.0,F,0.81060606,0.0,0.0
52932,Shawn,US,2.0,M,0.0,1.0,0.0
41592,Xuan K.,US,1.0,F,0.92510641,0.0,0.0
753,Xianghui,CN,,not found,not found,not found,not found
47433,Daniel,US,2.0,M,0.0,1.0,0.0
16119,Hai,CN,3.0,M,0.0,1.0,0.0
27902,Ralf,DE,1.0,M,0.0,1.0,0.0
754,Fenghui,CN,,not found,not found,not found,not found
16120,Sasuke,JP,3.0,M,0.0,1.0,0.0
755,Byunghoon,KR,,not found,not found,not found,not found
42975,Stefano,IT,1.0,M,0.0,1.0,0.0
46141,Andrew,US,2.0,M,0.0,1.0,0.0
756,Kunlun,CN,,not found,not found,not found,not found
54355,Yiwei,US,2.0,M,0.0,1.0,0.0
38126,Veeranarayana,IN,1.0,?,0.0,0.0,1.0
757,Yanan,CN,,not found,not found,not found,not found
16121,Zeshan,CN,3.0,M,0.0,1.0,0.0
758,HyonI,KR,,not found,not found,not found,not found
32872,Keigo,JP,1.0,M,0.0,1.0,0.0
759,Yang,DE,,not found,not found,not found,not found
27869,Rajmahendra,IN,1.0,F,1.0,0.0,0.0
40291,Young-Suk,KR,1.0,?,0.0,0.0,0.66666669
37919,Valeria,IT,1.0,F,1.0,0.0,0.0
46980,Channing Rodney,US,2.0,M,0.0,1.0,0.0
760,Zongpeng,CN,,not found,not found,not found,not found
54592,Zheng,US,2.0,M,0.0,1.0,0.0
38085,Bernd,DE,1.0,M,0.0,1.0,0.0
761,Panqi,CN,,not found,not found,not found,not found
45021,Andrew Payman,US,1.0,M,0.0,1.0,0.0
35769,Hyung-ki,KR,1.0,?,0.0,0.0,1.0
762,Ohjeong,KR,,not found,not found,not found,not found
42628,Damien Paul Joseph Henri,CH,1.0,M,0.0,1.0,0.0
31325,Gerardus Herbertus,CA,1.0,M,0.0,1.0,0.0
50567,Logan James,US,2.0,M,0.0,1.0,0.0
46300,Anupam Kumar,IN,2.0,M,0.0,1.0,0.0
41949,Xiao Feng,US,1.0,F,0.91085273,0.0,0.0
39337,Takehiro,JP,1.0,M,0.0,1.0,0.0
763,Jianchuan,CN,,not found,not found,not found,not found
49541,Jonathan,US,2.0,M,0.0,1.0,0.0
764,Jiuliang,CN,,not found,not found,not found,not found
765,Liwei,CN,,not found,not found,not found,not found
766,Yu,CN,,not found,not found,not found,not found
767,Naeri,KR,,not found,not found,not found,not found
768,Yuchao,CN,,not found,not found,not found,not found
27665,Helena,SE,1.0,F,1.0,0.0,0.0
47695,Dennis Michael,US,2.0,M,0.0,1.0,0.0
33888,Julius,DE,1.0,M,0.0,1.0,0.0
769,Huiyue,CN,,not found,not found,not found,not found
16122,Ko,JP,3.0,M,0.0,1.0,0.0
36916,Kyu-Hyoun,US,1.0,M,0.0,1.0,0.0
770,Babatope,SA,,not found,not found,not found,not found
38904,Vito,IT,1.0,M,0.0,1.0,0.0
16123,Ying,CN,3.0,M,0.0,1.0,0.0
44328,Takashi,JP,1.0,M,0.0,1.0,0.0
52433,Rodolfo,US,2.0,M,0.0,1.0,0.0
771,Tingfan,US,,not found,not found,not found,not found
29069,Myeong Seok,KR,1.0,?,0.0,0.0,1.0
42544,Andrew,GB,1.0,M,0.0,1.0,0.0
52129,Rajneet Kaur,US,2.0,F,1.0,0.0,0.0
52271,Richard C,US,2.0,M,0.0,1.0,0.0
46453,Balint,FR,2.0,M,0.0,1.0,0.0
43558,Da Hee,KR,1.0,?,0.0,0.0,1.0
772,Ling,CN,,not found,not found,not found,not found
38161,Toshiyuki,JP,1.0,M,0.0,1.0,0.0
773,Santimukul,US,,not found,not found,not found,not found
774,Dongjin,KR,,not found,not found,not found,not found
50347,L. Benjamin,US,2.0,M,0.0,1.0,0.0
16124,Sin-Jhu,TW,3.0,F,1.0,0.0,0.0
37101,Laura E.,CA,1.0,F,1.0,0.0,0.0
16125,Shibin,CN,3.0,M,0.0,1.0,0.0
16126,Yuanqing,CN,3.0,F,1.0,0.0,0.0
16127,Hyunsoo,KR,3.0,M,0.0,1.0,0.0
775,Baoduy,US,,not found,not found,not found,not found
38985,Vincent Johannes Jacobus,NL,1.0,M,0.0,1.0,0.0
16128,Yuan,CN,3.0,M,0.0,1.0,0.0
51002,Meng,US,2.0,F,1.0,0.0,0.0
776,Hualiang,CN,,not found,not found,not found,not found
45224,Min-Gi,KR,1.0,?,0.0,0.0,1.0
777,Yingfang,CN,,not found,not found,not found,not found
48667,Harry Anargiros,US,2.0,M,0.0,1.0,0.0
16129,Peiman,US,3.0,M,0.0,1.0,0.0
30062,Sheng,US,1.0,F,0.96858639,0.0,0.0
46685,Brian J.,US,2.0,M,0.0,1.0,0.0
29258,Oh Hyuck,KR,1.0,?,0.0,0.0,1.0
778,HoonBae,KR,,not found,not found,not found,not found
16130,Yanmin,CN,3.0,F,1.0,0.0,0.0
40641,Alona Bain,IL,1.0,F,1.0,0.0,0.0
16131,Junki,JP,3.0,F,1.0,0.0,0.0
779,Seongjae,KR,,not found,not found,not found,not found
780,Gyunam,KR,,not found,not found,not found,not found
31531,Revathy,IN,1.0,F,1.0,0.0,0.0
781,Jieqing,CN,,not found,not found,not found,not found
782,Seungwook,KR,,not found,not found,not found,not found
47028,Chen,US,2.0,M,0.0,1.0,0.0
16132,Xiaohong,CN,3.0,F,1.0,0.0,0.0
30943,Shige,JP,1.0,F,1.0,0.0,0.0
51966,Prasanna Kumar,IN,2.0,M,0.0,1.0,0.0
48607,Hanane,FR,2.0,F,1.0,0.0,0.0
16133,Haijun,CN,3.0,M,0.0,1.0,0.0
39751,Carlo,IT,1.0,M,0.0,1.0,0.0
783,Xiaojun,CN,,not found,not found,not found,not found
38068,Vernadette Dimafiles,CA,1.0,F,1.0,0.0,0.0
27785,Paul William,NL,1.0,M,0.0,1.0,0.0
33552,Kiyotaka,JP,1.0,M,0.0,1.0,0.0
49973,Kai,CN,2.0,M,0.0,1.0,0.0
16134,Rakeshbabu,NL,3.0,M,0.0,1.0,0.0
48645,Hardeep S.,CA,2.0,M,0.0,1.0,0.0
47505,Dann Joseph,US,2.0,M,0.0,1.0,0.0
45604,Hana'a Adel,KW,1.0,M,0.0,1.0,0.0
48819,Kyle Hunter,US,2.0,M,0.0,1.0,0.0
50002,Chih-Kai,TW,2.0,M,0.0,1.0,0.0
46351,Ashish,US,2.0,M,0.0,1.0,0.0
52027,Qiang,US,2.0,M,0.0,1.0,0.0
36696,Jae Sung,KR,1.0,?,0.0,0.0,1.0
784,Longbao,CN,,not found,not found,not found,not found
16135,Ruben Alexis,JP,3.0,M,0.0,1.0,0.0
785,Kwindla Hultman,US,,not found,not found,not found,not found
16136,Vishwa,IN,3.0,M,0.0,1.0,0.0
50984,Maxwell,US,2.0,M,0.0,1.0,0.0
16137,Jiyu,CN,3.0,F,1.0,0.0,0.0
786,Shengyang,US,,not found,not found,not found,not found
787,Zengfu,CN,,not found,not found,not found,not found
16138,Zhixiong,CN,3.0,M,0.0,1.0,0.0
36297,Hyun Jip,KR,1.0,?,0.0,0.0,1.0
47338,César Andrés,MX,2.0,M,0.0,1.0,0.0
16139,Juan,CN,3.0,M,0.0,1.0,0.0
788,Hualiang,CN,,not found,not found,not found,not found
789,Xianjiang,CN,,not found,not found,not found,not found
38890,Vishwanath Bandoo,IN,1.0,?,0.0,0.0,1.0
790,Seungho,US,,not found,not found,not found,not found
36354,Mei,US,1.0,F,0.9999842,0.0,0.0
791,Wenjiao,CN,,not found,not found,not found,not found
16140,Chakradhar,US,3.0,M,0.0,1.0,0.0
35811,Marina,RU,1.0,F,1.0,0.0,0.0
792,Kazuro,JP,,not found,not found,not found,not found
16141,Ishwarya,US,3.0,F,1.0,0.0,0.0
54051,Xiaoyu,US,2.0,F,1.0,0.0,0.0
16142,Zhang,CN,3.0,M,0.0,1.0,0.0
16143,Xiaoju,US,3.0,F,1.0,0.0,0.0
32164,Satoshi,JP,1.0,M,0.0,1.0,0.0
29139,Moon Soo,KR,1.0,?,0.0,0.0,1.0
45896,Alain,US,2.0,M,0.0,1.0,0.0
793,Yanjie,CN,,not found,not found,not found,not found
52058,Qiyu,US,2.0,M,0.0,1.0,0.0
16144,Huining,CN,3.0,F,1.0,0.0,0.0
16145,Swadesh K.,US,3.0,M,0.0,1.0,0.0
34326,Joo-Hyun,KR,1.0,?,0.0,0.0,1.0
16146,Guozhong,US,3.0,M,0.0,1.0,0.0
36501,Maya,JP,1.0,F,1.0,0.0,0.0
31405,Ganessh Kumar,IN,1.0,M,0.0,1.0,0.0
40111,Tina,US,1.0,F,0.99689633,0.0,0.0
42503,Andreas,AT,1.0,M,0.0,1.0,0.0
794,Yang,CN,,not found,not found,not found,not found
16147,Zhi,US,3.0,M,0.0,1.0,0.0
41337,Yujiro,JP,1.0,M,0.0,1.0,0.0
16148,Hao,CN,3.0,M,0.0,1.0,0.0
16149,Li-Han,TW,3.0,F,1.0,0.0,0.0
47341,Varouj D.,US,2.0,M,0.0,1.0,0.0
16150,Guodong,CN,3.0,M,0.0,1.0,0.0
33933,Jon,ES,1.0,M,0.0,1.0,0.0
16151,Qiang,CN,3.0,M,0.0,1.0,0.0
795,Olivier,CA,,not found,not found,not found,not found
796,Naiyong,US,,not found,not found,not found,not found
35039,Karl-Heinz,DE,1.0,M,0.0,1.0,0.0
16152,Zhiliang,CN,3.0,M,0.0,1.0,0.0
52009,Qian,US,2.0,M,0.0,1.0,0.0
27251,Hassan Kamal,KW,1.0,M,0.0,1.0,0.0
16153,Chi-Hwang,TW,3.0,M,0.0,1.0,0.0
42493,Andrea Diane,US,1.0,F,0.98641098,0.0,0.0
30733,Shunsuke,JP,1.0,M,0.0,1.0,0.0
797,Shiquan,CN,,not found,not found,not found,not found
34016,Jong Min,KR,1.0,?,0.0,0.0,1.0
27983,Gwen C.,US,1.0,F,0.98970515,0.0,0.0
34324,Joo-Gyeom,KR,1.0,?,0.0,0.0,1.0
37143,Larisa Ana-Maria,RO,1.0,F,1.0,0.0,0.0
16154,Kang,SG,3.0,M,0.0,1.0,0.0
51040,Michael A.,US,2.0,M,0.0,1.0,0.0
16155,Guihua,CN,3.0,F,1.0,0.0,0.0
798,Xiaojun,US,,not found,not found,not found,not found
799,Qufang,CN,,not found,not found,not found,not found
31004,Shigehiro,JP,1.0,M,0.0,1.0,0.0
49823,Jun-mo,US,2.0,M,0.0,1.0,0.0
800,Yifan,CN,,not found,not found,not found,not found
16156,Rubo,CN,3.0,F,1.0,0.0,0.0
29022,Moo-Hyun,KR,1.0,?,0.0,0.0,1.0
16157,Hanjun,KR,3.0,M,0.0,1.0,0.0
801,Sangheun,KR,,not found,not found,not found,not found
43997,Christoph S.,AU,1.0,M,0.0,1.0,0.0
44918,Venkata Rajam Raju,IN,1.0,?,0.0,0.0,1.0
16158,Chang,CN,3.0,M,0.0,1.0,0.0
31460,Genki,JP,1.0,M,0.0,1.0,0.0
41166,Yuji,JP,1.0,M,0.0,1.0,0.0
43799,Suvam,IN,1.0,?,0.0,0.0,1.0
802,Yu,US,,not found,not found,not found,not found
803,Mohammadhadi,US,,not found,not found,not found,not found
16159,Jinhua,CN,3.0,F,1.0,0.0,0.0
804,Donguk,KR,,not found,not found,not found,not found
51041,Michael,US,2.0,M,0.0,1.0,0.0
805,Linbai,CN,,not found,not found,not found,not found
16160,Chandra Ashok,KR,3.0,M,0.0,1.0,0.0
48355,George,US,2.0,M,0.0,1.0,0.0
806,Hidesato,JP,,not found,not found,not found,not found
807,Bin,CN,,not found,not found,not found,not found
46408,Noubar B.,US,2.0,M,0.0,1.0,0.0
47882,Eduardo A,US,2.0,M,0.0,1.0,0.0
808,Woonghee,KR,,not found,not found,not found,not found
46609,Bradley N.,US,2.0,M,0.0,1.0,0.0
809,Tomiyasu,JP,,not found,not found,not found,not found
30907,Shinichi,JP,1.0,M,0.0,1.0,0.0
16161,Tong,SG,3.0,M,0.0,1.0,0.0
810,Hongfei,CN,,not found,not found,not found,not found
35467,Masahiro,JP,1.0,M,0.0,1.0,0.0
16162,Jia-Sin,TW,3.0,M,0.0,1.0,0.0
40292,Young Su,KR,1.0,?,0.0,0.0,0.66666669
54426,Jemm Yue,US,2.0,F,1.0,0.0,0.0
811,Ggoch Ddeul,US,,not found,not found,not found,not found
44009,Dong-hyun,KR,1.0,M,0.0,1.0,0.0
812,Injo,US,,not found,not found,not found,not found
16163,Subal,US,3.0,M,0.0,1.0,0.0
45536,Juan Ernesto,CA,1.0,M,0.0,1.0,0.0
16164,Leelakrishna,US,3.0,M,0.0,1.0,0.0
813,Daamun,US,,not found,not found,not found,not found
16165,Gaby,IL,3.0,F,1.0,0.0,0.0
814,Xianhui,CN,,not found,not found,not found,not found
16166,Syun-Ming,TW,3.0,M,0.0,1.0,0.0
29549,Hisami,JP,1.0,F,1.0,0.0,0.0
39987,Celia S.,US,1.0,F,0.99858522,0.0,0.0
815,Kangguo,US,,not found,not found,not found,not found
816,Taisetsu,JP,,not found,not found,not found,not found
43974,Takanori,JP,1.0,M,0.0,1.0,0.0
49699,Joshua,US,2.0,M,0.0,1.0,0.0
817,Hongfan,US,,not found,not found,not found,not found
30959,Emily,US,1.0,F,0.99785495,0.0,0.0
30991,Elvir,US,1.0,M,0.0,1.0,0.0
32458,Sang Wol,KR,1.0,?,0.0,0.0,1.0
16167,Jiben,CN,3.0,F,1.0,0.0,0.0
38231,Buckley,US,1.0,M,0.0,1.0,0.0
35916,Michelle L.,US,1.0,F,0.99595797,0.0,0.0
818,Kilbom,KR,,not found,not found,not found,not found
16168,Burkay,US,3.0,M,0.0,1.0,0.0
16169,Xiaoyu,CN,3.0,F,1.0,0.0,0.0
32539,Kentaro,JP,1.0,M,0.0,1.0,0.0
16170,Tao,US,3.0,M,0.0,1.0,0.0
47743,Devon,US,2.0,M,0.0,1.0,0.0
49002,James Robert,US,2.0,M,0.0,1.0,0.0
819,Manohara Gudiyor,GB,,not found,not found,not found,not found
44186,Shuo,US,1.0,F,0.75,0.0,0.0
820,Chaohao,US,,not found,not found,not found,not found
38938,Babacar,US,1.0,M,0.0,1.0,0.0
821,Yingyang,CN,,not found,not found,not found,not found
822,Sungsik,KR,,not found,not found,not found,not found
823,Wenrui,CN,,not found,not found,not found,not found
824,Bojie,CN,,not found,not found,not found,not found
46454,Bare,DE,2.0,M,0.0,1.0,0.0
16171,Yan,CN,3.0,M,0.0,1.0,0.0
41923,Xiaohui,CN,1.0,F,1.0,0.0,0.0
