,name_first,country,level,gender,F,M,?
17696,Jia Wei,SG,3.0,M,0.0,1.0,0.0
28,Eunyong,KR,,not found,not found,not found,not found
29,Soo-Yeon,KR,,not found,not found,not found,not found
47881,Dick P.,US,2.0,M,0.0,1.0,0.0
29230,Jung-Hun,KR,1.0,M,0.0,1.0,0.0
17697,Minsung,KR,3.0,M,0.0,1.0,0.0
36030,Takenori,JP,1.0,M,0.0,1.0,0.0
17698,Nayantara,US,3.0,F,1.0,0.0,0.0
51852,Paul,US,2.0,M,0.0,1.0,0.0
30,Chonggang,US,,not found,not found,not found,not found
39346,Phillipp,US,1.0,M,0.0,1.0,0.0
31,Gonghao,US,,not found,not found,not found,not found
32,Sampat,US,,not found,not found,not found,not found
33,Xuan,CN,,not found,not found,not found,not found
51385,Monsef,FR,2.0,M,0.0,1.0,0.0
34,Buo-Chin,TW,,not found,not found,not found,not found
46991,Carl,US,2.0,M,0.0,1.0,0.0
38806,Ricardo,BR,1.0,M,0.0,1.0,0.0
35,Yuejun,CN,,not found,not found,not found,not found
41677,Clément Pierre,FR,1.0,M,0.0,1.0,0.0
31206,Masatsugu,JP,1.0,M,0.0,1.0,0.0
17699,Zhiwen,US,3.0,M,0.0,1.0,0.0
42528,Dan,RO,1.0,M,0.0,1.0,0.0
39499,Omri,IL,1.0,M,0.0,1.0,0.0
17700,Suwan,KR,3.0,F,1.0,0.0,0.0
54048,Xi Lin,US,2.0,F,1.0,0.0,0.0
35213,Ulrich,CA,1.0,M,0.0,1.0,0.0
52001,Philip Hsin-hua,US,2.0,M,0.0,1.0,0.0
52868,Scott,US,2.0,M,0.0,1.0,0.0
17701,Ond{hacek over (r)}ej,CZ,3.0,M,0.0,1.0,0.0
50456,Lakshya J.,US,2.0,M,0.0,1.0,0.0
36,Ohtsubo,JP,,not found,not found,not found,not found
37,Sangwon,KR,,not found,not found,not found,not found
17702,Janardhanan,US,3.0,M,0.0,1.0,0.0
17703,Mengting,CN,3.0,F,1.0,0.0,0.0
33357,Jing,CA,1.0,F,1.0,0.0,0.0
34750,Ting,US,1.0,F,0.87758797,0.0,0.0
38413,Rohit,US,1.0,M,0.0,1.0,0.0
17704,Jianwen,CN,3.0,M,0.0,1.0,0.0
17705,Xiaona,CN,3.0,F,1.0,0.0,0.0
41482,Felix,DE,1.0,M,0.0,1.0,0.0
41529,Delphine,FR,1.0,F,1.0,0.0,0.0
17706,Shuai,CN,3.0,M,0.0,1.0,0.0
29824,Michel Paul Barbara,NL,1.0,M,0.0,1.0,0.0
38,Royi,IL,,not found,not found,not found,not found
39,Yinggang,CN,,not found,not found,not found,not found
40,Yonghua,US,,not found,not found,not found,not found
41,Ruoyu,US,,not found,not found,not found,not found
42,Byungho,KR,,not found,not found,not found,not found
46631,Benjamin,US,2.0,M,0.0,1.0,0.0
43,Zengkai,CN,,not found,not found,not found,not found
44,Huaqiang,US,,not found,not found,not found,not found
17707,Hao,CN,3.0,M,0.0,1.0,0.0
